"Kingdom" "Phylum" "Class_Gigaclass" "Order" "Family" "Genus" "Species_Name" "COI" "12S" "16S" "cytb"
"Animalia" "Chordata" "Actinopteri" "Beloniformes" "Belonidae" "Ablennes" "Ablennes hians" 25 8 6 6
"Animalia" "Chordata" "Actinopteri" "Cypriniformes" "Cyprinidae" "Abramis" "Abramis brama" 78 8 10 29
"Animalia" "Chordata" "Actinopteri" "Ovalentaria" "Pomacentridae" "Abudefduf" "Abudefduf hoefleri" 2 2 2 1
"Animalia" "Chordata" "Actinopteri" "Ovalentaria" "Pomacentridae" "Abudefduf" "Abudefduf saxatilis" 38 4 6 128
"Animalia" "Chordata" "Actinopteri" "Ovalentaria" "Pomacentridae" "Abudefduf" "Abudefduf taurus" 17 2 2 3
"Animalia" "Chordata" "Actinopteri" "Ovalentaria" "Pomacentridae" "Abudefduf" "Abudefduf vaigiensis" 277 19 15 417
"Animalia" "Chordata" "Actinopteri" "Beryciformes" "Stephanoberycidae" "Acanthochaenus" "Acanthochaenus luetkenii" 4 0 0 0
"Animalia" "Chordata" "Actinopteri" "Scombriformes" "Scombridae" "Acanthocybium" "Acanthocybium solandri" 69 7 5 76
"Animalia" "Chordata" "Actinopteri" "Eupercaria" "Labridae" "Acantholabrus" "Acantholabrus palloni" 8 1 3 1
"Animalia" "Chordata" "Actinopteri" "Eupercaria" "Sparidae" "Acanthopagrus" "Acanthopagrus bifasciatus" 21 2 3 2
"Animalia" "Chordata" "Actinopteri" "Tetraodontiformes" "Ostraciidae" "Acanthostracion" "Acanthostracion notacanthus" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Tetraodontiformes" "Ostraciidae" "Acanthostracion" "Acanthostracion quadricornis" 20 1 1 2
"Animalia" "Chordata" "Actinopteri" "Acanthuriformes" "Acanthuridae" "Acanthurus" "Acanthurus chirurgus" 31 0 0 3
"Animalia" "Chordata" "Actinopteri" "Acanthuriformes" "Acanthuridae" "Acanthurus" "Acanthurus monroviae" 2 1 1 4
"Animalia" "Chordata" "Actinopteri" "Acipenseriformes" "Acipenseridae" "Acipenser" "Acipenser gueldenstaedtii" 37 8 10 110
"Animalia" "Chordata" "Actinopteri" "Acipenseriformes" "Acipenseridae" "Acipenser" "Acipenser naccarii" 5 18 3 14
"Animalia" "Chordata" "Actinopteri" "Acipenseriformes" "Acipenseridae" "Acipenser" "Acipenser nudiventris" 24 6 4 11
"Animalia" "Chordata" "Actinopteri" "Acipenseriformes" "Acipenseridae" "Acipenser" "Acipenser oxyrinchus" 23 16 14 96
"Animalia" "Chordata" "Actinopteri" "Acipenseriformes" "Acipenseridae" "Acipenser" "Acipenser persicus" 6 4 6 29
"Animalia" "Chordata" "Actinopteri" "Acipenseriformes" "Acipenseridae" "Acipenser" "Acipenser ruthenus" 66 8 10 67
"Animalia" "Chordata" "Actinopteri" "Acipenseriformes" "Acipenseridae" "Acipenser" "Acipenser stellatus" 32 7 5 70
"Animalia" "Chordata" "Actinopteri" "Acipenseriformes" "Acipenseridae" "Acipenser" "Acipenser sturio" 5 10 3 33
"Animalia" "Chordata" "Elasmobranchii" "Rhinopristiformes" "Rhinobatidae" "Acroteriobatus" "Acroteriobatus blochii" 0 0 0 0
