"Kingdom" "Phylum" "Class_Gigaclass" "Order" "Family" "Genus" "Species_Name"
"Animalia" "Chordata" "Actinopteri" "Beloniformes" "Belonidae" "Ablennes" "Ablennes hians"
"Animalia" "Chordata" "Actinopteri" "Cypriniformes" "Cyprinidae" "Abramis" "Abramis brama"
"Animalia" "Chordata" "Actinopteri" "Ovalentaria" "Pomacentridae" "Abudefduf" "Abudefduf hoefleri"
"Animalia" "Chordata" "Actinopteri" "Ovalentaria" "Pomacentridae" "Abudefduf" "Abudefduf saxatilis"
"Animalia" "Chordata" "Actinopteri" "Ovalentaria" "Pomacentridae" "Abudefduf" "Abudefduf taurus"
"Animalia" "Chordata" "Actinopteri" "Ovalentaria" "Pomacentridae" "Abudefduf" "Abudefduf vaigiensis"
"Animalia" "Chordata" "Actinopteri" "Beryciformes" "Stephanoberycidae" "Acanthochaenus" "Acanthochaenus luetkenii"
"Animalia" "Chordata" "Actinopteri" "Scombriformes" "Scombridae" "Acanthocybium" "Acanthocybium solandri"
"Animalia" "Chordata" "Actinopteri" "Eupercaria" "Labridae" "Acantholabrus" "Acantholabrus palloni"
"Animalia" "Chordata" "Actinopteri" "Eupercaria" "Sparidae" "Acanthopagrus" "Acanthopagrus bifasciatus"
"Animalia" "Chordata" "Actinopteri" "Tetraodontiformes" "Ostraciidae" "Acanthostracion" "Acanthostracion notacanthus"
"Animalia" "Chordata" "Actinopteri" "Tetraodontiformes" "Ostraciidae" "Acanthostracion" "Acanthostracion quadricornis"
"Animalia" "Chordata" "Actinopteri" "Acanthuriformes" "Acanthuridae" "Acanthurus" "Acanthurus chirurgus"
"Animalia" "Chordata" "Actinopteri" "Acanthuriformes" "Acanthuridae" "Acanthurus" "Acanthurus monroviae"
"Animalia" "Chordata" "Actinopteri" "Acipenseriformes" "Acipenseridae" "Acipenser" "Acipenser gueldenstaedtii"
"Animalia" "Chordata" "Actinopteri" "Acipenseriformes" "Acipenseridae" "Acipenser" "Acipenser naccarii"
"Animalia" "Chordata" "Actinopteri" "Acipenseriformes" "Acipenseridae" "Acipenser" "Acipenser nudiventris"
"Animalia" "Chordata" "Actinopteri" "Acipenseriformes" "Acipenseridae" "Acipenser" "Acipenser oxyrinchus"
"Animalia" "Chordata" "Actinopteri" "Acipenseriformes" "Acipenseridae" "Acipenser" "Acipenser persicus"
"Animalia" "Chordata" "Actinopteri" "Acipenseriformes" "Acipenseridae" "Acipenser" "Acipenser ruthenus"
"Animalia" "Chordata" "Actinopteri" "Acipenseriformes" "Acipenseridae" "Acipenser" "Acipenser stellatus"
"Animalia" "Chordata" "Actinopteri" "Acipenseriformes" "Acipenseridae" "Acipenser" "Acipenser sturio"
"Animalia" "Chordata" "Elasmobranchii" "Rhinopristiformes" "Rhinobatidae" "Acroteriobatus" "Acroteriobatus blochii"
"Animalia" "Chordata" "Elasmobranchii" "Myliobatiformes" "Myliobatidae" "Aetobatus" "Aetobatus flagellum"
"Animalia" "Chordata" "Elasmobranchii" "Myliobatiformes" "Myliobatidae" "Aetobatus" "Aetobatus narinari"
