"Species"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"total_sequences"
"Ablennes_hians"	"Chordata"	"Actinopteri"	"Beloniformes"	"Belonidae"	"Ablennes"	7
"Abramis_brama"	"Chordata"	"Actinopteri"	"Cypriniformes"	"Cyprinidae"	"Abramis"	8
"Abudefduf_hoefleri"	"Chordata"	"Actinopteri"	"Ovalentaria"	"Pomacentridae"	"Abudefduf"	1
"Abudefduf_saxatilis"	"Chordata"	"Actinopteri"	"Ovalentaria"	"Pomacentridae"	"Abudefduf"	3
"Abudefduf_taurus"	"Chordata"	"Actinopteri"	"Ovalentaria"	"Pomacentridae"	"Abudefduf"	2
"Abudefduf_vaigiensis"	"Chordata"	"Actinopteri"	"Ovalentaria"	"Pomacentridae"	"Abudefduf"	13
"Acanthocybium_solandri"	"Chordata"	"Actinopteri"	"Scombriformes"	"Scombridae"	"Acanthocybium"	5
"Acantholabrus_palloni"	"Chordata"	"Actinopteri"	"Eupercaria"	"Labridae"	"Acantholabrus"	1
"Acanthopagrus_bifasciatus"	"Chordata"	"Actinopteri"	"Eupercaria"	"Sparidae"	"Acanthopagrus"	2
"Acanthostracion_quadricornis"	"Chordata"	"Actinopteri"	"Tetraodontiformes"	"Ostraciidae"	"Acanthostracion"	1
"Acipenser_gueldenstaedtii"	"Chordata"	"Actinopteri"	"Acipenseriformes"	"Acipenseridae"	"Acipenser"	6
"Acipenser_naccarii"	"Chordata"	"Actinopteri"	"Acipenseriformes"	"Acipenseridae"	"Acipenser"	2
"Acipenser_nudiventris"	"Chordata"	"Actinopteri"	"Acipenseriformes"	"Acipenseridae"	"Acipenser"	4
"Acipenser_oxyrinchus"	"Chordata"	"Actinopteri"	"Acipenseriformes"	"Acipenseridae"	"Acipenser"	11
"Acipenser_persicus"	"Chordata"	"Actinopteri"	"Acipenseriformes"	"Acipenseridae"	"Acipenser"	2
"Acipenser_ruthenus"	"Chordata"	"Actinopteri"	"Acipenseriformes"	"Acipenseridae"	"Acipenser"	5
"Acipenser_stellatus"	"Chordata"	"Actinopteri"	"Acipenseriformes"	"Acipenseridae"	"Acipenser"	5
"Acipenser_sturio"	"Chordata"	"Actinopteri"	"Acipenseriformes"	"Acipenseridae"	"Acipenser"	3
"Aetobatus_flagellum"	"Chordata"	"Elasmobranchii"	"Myliobatiformes"	"Myliobatidae"	"Aetobatus"	2
"Aetobatus_narinari"	"Chordata"	"Elasmobranchii"	"Myliobatiformes"	"Myliobatidae"	"Aetobatus"	2
"Alburnus_alburnus"	"Chordata"	"Actinopteri"	"Cypriniformes"	"Cyprinidae"	"Alburnus"	2
"Alburnus_chalcoides"	"Chordata"	"Actinopteri"	"Cypriniformes"	"Cyprinidae"	"Alburnus"	1
