"Species"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"total_sequences"
"Ablennes_hians"	"Chordata"	"Actinopteri"	"Beloniformes"	"Belonidae"	"Ablennes"	3
"Abramis_brama"	"Chordata"	"Actinopteri"	"Cypriniformes"	"Cyprinidae"	"Abramis"	7
"Abudefduf_hoefleri"	"Chordata"	"Actinopteri"	"Ovalentaria"	"Pomacentridae"	"Abudefduf"	1
"Abudefduf_saxatilis"	"Chordata"	"Actinopteri"	"Ovalentaria"	"Pomacentridae"	"Abudefduf"	2
"Abudefduf_taurus"	"Chordata"	"Actinopteri"	"Ovalentaria"	"Pomacentridae"	"Abudefduf"	1
"Abudefduf_vaigiensis"	"Chordata"	"Actinopteri"	"Ovalentaria"	"Pomacentridae"	"Abudefduf"	10
"Acanthocybium_solandri"	"Chordata"	"Actinopteri"	"Scombriformes"	"Scombridae"	"Acanthocybium"	3
"Acanthopagrus_bifasciatus"	"Chordata"	"Actinopteri"	"Eupercaria"	"Sparidae"	"Acanthopagrus"	2
"Acanthurus_monroviae"	"Chordata"	"Actinopteri"	"Acanthuriformes"	"Acanthuridae"	"Acanthurus"	1
"Acipenser_gueldenstaedtii"	"Chordata"	"Actinopteri"	"Acipenseriformes"	"Acipenseridae"	"Acipenser"	5
"Acipenser_naccarii"	"Chordata"	"Actinopteri"	"Acipenseriformes"	"Acipenseridae"	"Acipenser"	2
"Acipenser_nudiventris"	"Chordata"	"Actinopteri"	"Acipenseriformes"	"Acipenseridae"	"Acipenser"	4
"Acipenser_oxyrinchus"	"Chordata"	"Actinopteri"	"Acipenseriformes"	"Acipenseridae"	"Acipenser"	10
"Acipenser_persicus"	"Chordata"	"Actinopteri"	"Acipenseriformes"	"Acipenseridae"	"Acipenser"	2
"Acipenser_ruthenus"	"Chordata"	"Actinopteri"	"Acipenseriformes"	"Acipenseridae"	"Acipenser"	4
"Acipenser_stellatus"	"Chordata"	"Actinopteri"	"Acipenseriformes"	"Acipenseridae"	"Acipenser"	5
"Acipenser_sturio"	"Chordata"	"Actinopteri"	"Acipenseriformes"	"Acipenseridae"	"Acipenser"	4
"Aetobatus_flagellum"	"Chordata"	"Elasmobranchii"	"Myliobatiformes"	"Myliobatidae"	"Aetobatus"	2
"Aetobatus_narinari"	"Chordata"	"Elasmobranchii"	"Myliobatiformes"	"Myliobatidae"	"Aetobatus"	1
"Alburnus_alburnus"	"Chordata"	"Actinopteri"	"Cypriniformes"	"Cyprinidae"	"Alburnus"	2
"Alburnus_chalcoides"	"Chordata"	"Actinopteri"	"Cypriniformes"	"Cyprinidae"	"Alburnus"	1
"Aldrovandia_affinis"	"Chordata"	"Actinopteri"	"Notacanthiformes"	"Halosauridae"	"Aldrovandia"	2
"Aldrovandia_oleosa"	"Chordata"	"Actinopteri"	"Notacanthiformes"	"Halosauridae"	"Aldrovandia"	2
"Aldrovandia_phalacra"	"Chordata"	"Actinopteri"	"Notacanthiformes"	"Halosauridae"	"Aldrovandia"	1
"Alectis_ciliaris"	"Chordata"	"Actinopteri"	"Carangiformes"	"Carangidae"	"Alectis"	2
"Alepes_djedaba"	"Chordata"	"Actinopteri"	"Carangiformes"	"Carangidae"	"Alepes"	2
"Alepisaurus_ferox"	"Chordata"	"Actinopteri"	"Aulopiformes"	"Alepisauridae"	"Alepisaurus"	1
"Alepocephalus_agassizii"	"Chordata"	"Actinopteri"	"Alepocephaliformes"	"Alepocephalidae"	"Alepocephalus"	3
"Alepocephalus_australis"	"Chordata"	"Actinopteri"	"Alepocephaliformes"	"Alepocephalidae"	"Alepocephalus"	2
"Alepocephalus_bairdii"	"Chordata"	"Actinopteri"	"Alepocephaliformes"	"Alepocephalidae"	"Alepocephalus"	2
"Alepocephalus_productus"	"Chordata"	"Actinopteri"	"Alepocephaliformes"	"Alepocephalidae"	"Alepocephalus"	2
"Alopias_superciliosus"	"Chordata"	"Elasmobranchii"	"Lamniformes"	"Alopiidae"	"Alopias"	5
"Alopias_vulpinus"	"Chordata"	"Elasmobranchii"	"Lamniformes"	"Alopiidae"	"Alopias"	5
"Alosa_alosa"	"Chordata"	"Actinopteri"	"Clupeiformes"	"Clupeidae"	"Alosa"	2
"Alosa_fallax"	"Chordata"	"Actinopteri"	"Clupeiformes"	"Clupeidae"	"Alosa"	5
"Aluterus_monoceros"	"Chordata"	"Actinopteri"	"Tetraodontiformes"	"Monacanthidae"	"Aluterus"	2
"Aluterus_scriptus"	"Chordata"	"Actinopteri"	"Tetraodontiformes"	"Monacanthidae"	"Aluterus"	2
"Amblyraja_hyperborea"	"Chordata"	"Elasmobranchii"	"Rajiformes"	"Rajidae"	"Amblyraja"	3
"Amblyraja_radiata"	"Chordata"	"Elasmobranchii"	"Rajiformes"	"Rajidae"	"Amblyraja"	5
"Ammodytes_dubius"	"Chordata"	"Actinopteri"	"Perciformes"	"Ammodytidae"	"Ammodytes"	2
"Ammodytes_marinus"	"Chordata"	"Actinopteri"	"Perciformes"	"Ammodytidae"	"Ammodytes"	1
"Ammodytes_tobianus"	"Chordata"	"Actinopteri"	"Perciformes"	"Ammodytidae"	"Ammodytes"	1
"Anarhichas_denticulatus"	"Chordata"	"Actinopteri"	"Perciformes"	"Anarhichadidae"	"Anarhichas"	23
"Anarhichas_lupus"	"Chordata"	"Actinopteri"	"Perciformes"	"Anarhichadidae"	"Anarhichas"	89
"Anarhichas_minor"	"Chordata"	"Actinopteri"	"Perciformes"	"Anarhichadidae"	"Anarhichas"	20
"Anguilla_anguilla"	"Chordata"	"Actinopteri"	"Anguilliformes"	"Anguillidae"	"Anguilla"	59
"Anguilla_japonica"	"Chordata"	"Actinopteri"	"Anguilliformes"	"Anguillidae"	"Anguilla"	10
"Anisarchus_medius"	"Chordata"	"Actinopteri"	"Perciformes"	"Stichaeidae"	"Anisarchus"	1
"Anoplogaster_cornuta"	"Chordata"	"Actinopteri"	"Trachichthyiformes"	"Anoplogastridae"	"Anoplogaster"	2
"Anotopterus_pharao"	"Chordata"	"Actinopteri"	"Aulopiformes"	"Anotopteridae"	"Anotopterus"	1
"Antennarius_striatus"	"Chordata"	"Actinopteri"	"Lophiiformes"	"Antennariidae"	"Antennarius"	1
"Antigonia_capros"	"Chordata"	"Actinopteri"	"Acanthuriformes"	"Caproidae"	"Antigonia"	2
"Antimora_rostrata"	"Chordata"	"Actinopteri"	"Gadiformes"	"Moridae"	"Antimora"	2
"Aphanius_dispar"	"Chordata"	"Actinopteri"	"Cyprinodontiformes"	"Cyprinodontidae"	"Aphanius"	11
"Aphanius_fasciatus"	"Chordata"	"Actinopteri"	"Cyprinodontiformes"	"Cyprinodontidae"	"Aphanius"	7
"Aphanopus_carbo"	"Chordata"	"Actinopteri"	"Scombriformes"	"Trichiuridae"	"Aphanopus"	2
"Aphia_minuta"	"Chordata"	"Actinopteri"	"Gobiiformes"	"Gobiidae"	"Aphia"	2
"Apogon_imberbis"	"Chordata"	"Actinopteri"	"Kurtiformes"	"Apogonidae"	"Apogon"	2
"Apogonichthyoides_nigripinnis"	"Chordata"	"Actinopteri"	"Kurtiformes"	"Apogonidae"	"Apogonichthyoides"	1
"Apogonichthyoides_taeniatus"	"Chordata"	"Actinopteri"	"Kurtiformes"	"Apogonidae"	"Apogonichthyoides"	1
"Arctogadus_glacialis"	"Chordata"	"Actinopteri"	"Gadiformes"	"Gadidae"	"Arctogadus"	20
"Arctozenus_risso"	"Chordata"	"Actinopteri"	"Aulopiformes"	"Paralepididae"	"Arctozenus"	1
"Argentina_silus"	"Chordata"	"Actinopteri"	"Argentiniformes"	"Argentinidae"	"Argentina"	1
"Argentina_sphyraena"	"Chordata"	"Actinopteri"	"Argentiniformes"	"Argentinidae"	"Argentina"	1
"Ariosoma_balearicum"	"Chordata"	"Actinopteri"	"Anguilliformes"	"Congridae"	"Ariosoma"	1
"Arnoglossus_laterna"	"Chordata"	"Actinopteri"	"Pleuronectiformes"	"Bothidae"	"Arnoglossus"	1
"Arothron_hispidus"	"Chordata"	"Actinopteri"	"Tetraodontiformes"	"Tetraodontidae"	"Arothron"	3
"Aspidophoroides_olrikii"	"Chordata"	"Actinopteri"	"Perciformes"	"Agonidae"	"Aspidophoroides"	2
"Atherina_boyeri"	"Chordata"	"Actinopteri"	"Atheriniformes"	"Atherinidae"	"Atherina"	6
"Atherina_hepsetus"	"Chordata"	"Actinopteri"	"Atheriniformes"	"Atherinidae"	"Atherina"	17
"Atherina_presbyter"	"Chordata"	"Actinopteri"	"Atheriniformes"	"Atherinidae"	"Atherina"	6
"Atherinomorus_lacunosus"	"Chordata"	"Actinopteri"	"Atheriniformes"	"Atherinidae"	"Atherinomorus"	2
"Atractoscion_aequidens"	"Chordata"	"Actinopteri"	"Eupercaria"	"Sciaenidae"	"Atractoscion"	5
"Auxis_rochei"	"Chordata"	"Actinopteri"	"Scombriformes"	"Scombridae"	"Auxis"	8
"Auxis_thazard"	"Chordata"	"Actinopteri"	"Scombriformes"	"Scombridae"	"Auxis"	7
"Avocettina_infans"	"Chordata"	"Actinopteri"	"Anguilliformes"	"Nemichthyidae"	"Avocettina"	2
"Babka_gymnotrachelus"	"Chordata"	"Actinopteri"	"Gobiiformes"	"Gobiidae"	"Babka"	1
"Bajacalifornia_megalops"	"Chordata"	"Actinopteri"	"Alepocephaliformes"	"Alepocephalidae"	"Bajacalifornia"	2
"Balistes_vetula"	"Chordata"	"Actinopteri"	"Tetraodontiformes"	"Balistidae"	"Balistes"	2
"Barbatula_barbatula"	"Chordata"	"Actinopteri"	"Cypriniformes"	"Nemacheilidae"	"Barbatula"	7
"Barbourisia_rufa"	"Chordata"	"Actinopteri"	"Beryciformes"	"Barbourisiidae"	"Barbourisia"	2
"Barbus_barbus"	"Chordata"	"Actinopteri"	"Cypriniformes"	"Cyprinidae"	"Barbus"	3
"Bathygadus_favosus"	"Chordata"	"Actinopteri"	"Gadiformes"	"Macrouridae"	"Bathygadus"	1
"Bathygadus_macrops"	"Chordata"	"Actinopteri"	"Gadiformes"	"Macrouridae"	"Bathygadus"	1
"Bathygadus_melanobranchus"	"Chordata"	"Actinopteri"	"Gadiformes"	"Macrouridae"	"Bathygadus"	1
"Bathylaco_nigricans"	"Chordata"	"Actinopteri"	"Alepocephaliformes"	"Alepocephalidae"	"Bathylaco"	1
