Ablennes hians
Abramis brama
Abudefduf hoefleri
Abudefduf saxatilis
Abudefduf taurus
Abudefduf vaigiensis
Acanthochaenus luetkenii
Acanthocybium solandri
Acantholabrus palloni
Acanthopagrus bifasciatus
Acanthostracion notacanthus
Acanthostracion quadricornis
Acanthurus chirurgus
Acanthurus monroviae
Acipenser gueldenstaedtii
Acipenser naccarii
Acipenser nudiventris
Acipenser oxyrinchus
Acipenser persicus
Acipenser ruthenus
Acipenser stellatus
Acipenser sturio
Acroteriobatus blochii
Aetobatus flagellum
Aetobatus narinari
Aetomylaeus bovinus
Agonus cataphractus
Ahliesaurus berryi
Aidablennius sphynx
Alburnoides bipunctatus
Alburnus alburnus
Alburnus chalcoides
Aldrovandia affinis
Aldrovandia gracilis
Aldrovandia oleosa
Aldrovandia phalacra
Alectis alexandrina
Alectis ciliaris
Alepes djedaba
Alepisaurus brevirostris
Alepisaurus ferox
Alepocephalus agassizii
Alepocephalus australis
Alepocephalus bairdii
Alepocephalus productus
Alepocephalus rostratus
Allocyttus guineensis
Allocyttus verrucosus
Alopias superciliosus
Alopias vulpinus
Alosa algeriensis
Alosa alosa
Alosa caspia
Alosa fallax
Alosa immaculata
Alosa maeotica
Alosa tanaica
Aluterus monoceros
Aluterus schoepfii
Aluterus scriptus
Amblyraja hyperborea
Amblyraja radiata
Ammodytes dubius
Ammodytes marinus
Ammodytes tobianus
Anarchias euryurus
Anarhichas denticulatus
Anarhichas lupus
Anarhichas minor
Anguilla anguilla
Anguilla japonica
Anisarchus medius
Anoplogaster cornuta
Anotopterus pharao
Antennarius pardalis
Antennarius striatus
Antennatus nummifer
Anthias anthias
Antigonia capros
Antimora rostrata
Apagesoma delosommatus
Aphanius dispar
Aphanius fasciatus
Aphanopus carbo
Aphanopus intermedius
Aphia minuta
Aphyonus gelatinosus
Aphyonus rassi
Apletodon bacescui
Apletodon dentatus
Apletodon incognitus
Apletodon pellegrini
Apogon imberbis
Apogonichthyoides nigripinnis
Apogonichthyoides pharaonis
Apogonichthyoides taeniatus
Apristurus laurussonii
Apristurus profundorum
Apsilus fuscus
Apterichtus anguiformis
Apterichtus caecus
Apterichtus monodi
Arctogadus glacialis
Arctozenus risso
Argentina silus
Argentina sphyraena
Argyripnus atlanticus
Argyropelecus aculeatus
Argyropelecus affinis
Argyropelecus gigas
Argyropelecus hemigymnus
Argyropelecus olfersii
Argyropelecus sladeni
Argyrosomus regius
Ariomma bondi
Ariomma melanum
Ariosoma balearicum
Aristostomias grimaldii
Aristostomias lunifer
Aristostomias polydactylus
Aristostomias xenostoma
Arius latiscutatus
Arnoglossus capensis
Arnoglossus grohmanni
Arnoglossus imperialis
